²¨³¤,Count
917,-16.5504
918,6.135
919,23.3199
920,6.36636
921,-14.8165
922,-4.12128
923,-11.287
924,-5.51035
925,20.2318
926,-2.75851
927,9.48826
928,-20.8261
929,2.42625
930,10.2852
931,-8.03888
932,8.16207
933,19.6913
934,-3.9853
935,-5.82058
936,-4.14868
937,-7.70326
938,11.71
939,2.78307
940,-0.297433
941,-34.9411
942,-7.06726
943,11.8825
944,-6.44318
945,7.10959
946,-1.7293
947,-20.7049
948,0.270572
949,-4.65701
950,-4.72408
951,2.7861
952,-6.27307
953,-1.28717
954,4.37915
955,12.156
956,15.2204
957,22.5463
958,0.905826
959,23.5013
960,-14.6817
961,-17.4636
962,0.160169
963,18.3371
964,-2.73172
965,12.6438
966,-34.5296
967,-27.6618
968,17.1603
969,-14.613
970,0.687328
971,-4.93073
972,-8.41894
973,15.0374
974,-15.1388
975,-16.9712
976,-9.40962
977,-26.8091
978,15.5635
979,15.9754
980,17.621
981,-11.0653
982,10.6366
983,-35.4585
984,-2.69625
985,-8.35361
986,-37.9754
987,8.09648
988,-5.02484
989,-2.80114
990,-16.1302
991,-12.8255
992,-26.0392
993,-12.5525
994,-0.101813
995,8.46578
996,26.2698
997,-4.61623
998,5.41951
999,-9.93024
1000,-12.8182
1001,-10.2525
1002,19.3156
1003,-3.73471
1004,16.6448
1005,-4.86855
1006,-6.71757
1007,0.270736
1008,7.22293
1009,11.347
1010,-8.99427
1011,-5.79174
1012,-21.2561
1013,5.84845
1014,2.79667
1015,-3.61307
1016,5.71549
1017,-17.4853
1018,-24.5776
1019,1.27787
1020,-10.1252
1021,-13.1077
1022,3.62747
1023,1.95708
1024,-20.7385
1025,4.13101
1026,3.37759
1027,-6.58198
1028,-9.53572
1029,-0.312746
1030,-13.866
1031,1.86199
1032,-1.02702
1033,4.22843
1034,0.225255
1035,7.31697
1036,-6.1624
1037,6.89932
1038,11.8248
1039,-16.338
1040,7.83361
1041,17.2878
1042,11.4332
1043,-0.301052
1044,6.09936
1045,-24.7928
1046,8.40323
1047,-23.876
1048,1.57267
1049,0.173248
1050,14.8024
1051,-15.1744
1052,8.27025
1053,-0.822708
1054,5.07182
1055,4.28014
1056,-14.1168
1057,7.79101
1058,2.86062
1059,23.5137
1060,-8.86587
1061,1.51707
1062,-7.90701
1063,-8.58155
1064,27.2222
1065,-24.7571
1066,2.52078
1067,-15.3322
1068,5.38777
1069,-24.7905
1070,16.562
1071,7.47556
1072,-6.20473
1073,1.27145
1074,5.88196
1075,-18.5568
1076,-4.90261
1077,-5.83215
1078,1.77429
1079,-6.45915
1080,-1.7038
1081,8.22946
1082,-16.2131
1083,-14.3232
1084,-3.0265
1085,0.809376
1086,6.01047
1087,-4.67003
1088,-13.8691
1089,-19.3297
1090,4.18766
1091,7.71631
1092,10.6609
1093,32.9273
1094,-2.06819
1095,4.80437
1096,3.89268
1097,-23.7853
1098,-1.71628
1099,-23.2782
1100,5.422
1101,1.426
1102,-18.9043
1103,-4.35157
1104,-17.8192
1105,-12.3885
1106,1.22212
1107,-17.4507
1108,4.63425
1109,-12.8931
1110,-6.67032
1111,-4.45186
1112,-17.9171
1113,5.0751
1114,5.942
1115,7.43465
1116,4.88799
1117,26.3594
1118,-18.341
1119,10.4803
1120,1.49234
1121,1.98781
1122,-12.3004
1123,3.15312
1124,-6.79122
1125,6.7359
1126,16.8289
1127,11.3229
1128,10.1813
1129,-10.864
1130,12.3191
1131,15.0056
1132,4.91612
1133,9.16551
1134,-3.05888
1135,-18.3063
1136,-15.2494
1137,21.3375
1138,37.1039
1139,1.57424
1140,4.73241
1141,-5.93265
1142,4.53842
1143,-2.17679
1144,19.663
1145,7.59104
1146,-1.37883
1147,3.54844
1148,15.4191
1149,7.11539
1150,-6.63019
1151,-9.98943
1152,-3.16176
1153,12.7279
1154,-9.45515
1155,-6.00583
1156,-6.86566
1157,-4.70105
