Wavelength(nm),Spectrum,,,,,,,,,,,,
618,3.39E-04,,,,,,,,,,,,
619,3.88E-04,,,,,,,,,,,,
620,4.13E-04,,,,,,,,,,,,
621,4.32E-04,,,,,,,,,,,,
622,4.54E-04,,,,,,,,,,,,
623,4.57E-04,,,,,,,,,,,,
624,4.85E-04,,,,,,,,,,,,
625,4.92E-04,,,,,,,,,,,,
626,5.08E-04,,,,,,,,,,,,
627,5.55E-04,,,,,,,,,,,,
628,5.67E-04,,,,,,,,,,,,
629,5.90E-04,,,,,,,,,,,,
630,6.37E-04,,,,,,,,,,,,
631,7.06E-04,,,,,,,,,,,,
632,1.05E-03,,,,,,,,,,,,
633,3.10E-03,,,,,,,,,,,,
634,1.01E-02,,,,,,,,,,,,
635,2.96E-02,,,,,,,,,,,,
636,6.64E-02,,,,,,,,,,,,
637,1.09E-01,,,,,,,,,,,,
638,1.44E-01,,,,,,,,,,,,
639,1.56E-01,,,,,,,,,,,,
640,1.39E-01,,,,,,,,,,,,
641,1.03E-01,,,,,,,,,,,,
642,6.50E-02,,,,,,,,,,,,
643,3.30E-02,,,,,,,,,,,,
644,1.28E-02,,,,,,,,,,,,
645,3.93E-03,,,,,,,,,,,,
646,1.28E-03,,,,,,,,,,,,
647,7.35E-04,,,,,,,,,,,,
648,6.23E-04,,,,,,,,,,,,
649,5.76E-04,,,,,,,,,,,,
650,5.40E-04,,,,,,,,,,,,
651,5.11E-04,,,,,,,,,,,,
652,4.76E-04,,,,,,,,,,,,
653,4.63E-04,,,,,,,,,,,,
654,4.45E-04,,,,,,,,,,,,
655,4.38E-04,,,,,,,,,,,,
656,4.21E-04,,,,,,,,,,,,
657,4.05E-04,,,,,,,,,,,,
658,4.08E-04,,,,,,,,,,,,
659,3.94E-04,,,,,,,,,,,,
660,3.80E-04,,,,,,,,,,,,
661,3.77E-04,,,,,,,,,,,,
662,3.80E-04,,,,,,,,,,,,
663,3.62E-04,,,,,,,,,,,,
664,3.52E-04,,,,,,,,,,,,
665,3.57E-04,,,,,,,,,,,,
666,3.52E-04,,,,,,,,,,,,
667,3.26E-04,,,,,,,,,,,,
668,3.20E-04,,,,,,,,,,,,
669,3.22E-04,,,,,,,,,,,,
670,2.91E-04,,,,,,,,,,,,
671,2.53E-04,,,,,,,,,,,,
672,2.33E-04,,,,,,,,,,,,
673,1.94E-04,,,,,,,,,,,,
674,1.79E-04,,,,,,,,,,,,
675,1.51E-04,,,,,,,,,,,,
676,1.63E-04,,,,,,,,,,,,
677,1.50E-04,,,,,,,,,,,,
678,1.50E-04,,,,,,,,,,,,
679,1.56E-04,,,,,,,,,,,,
680,1.31E-04,,,,,,,,,,,,
681,1.32E-04,,,,,,,,,,,,
682,1.17E-04,,,,,,,,,,,,
683,1.20E-04,,,,,,,,,,,,
684,1.07E-04,,,,,,,,,,,,
685,9.80E-05,,,,,,,,,,,,
686,1.15E-04,,,,,,,,,,,,
687,1.11E-04,,,,,,,,,,,,
688,1.00E-04,,,,,,,,,,,,
