sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__papersci__0166,paper_spectra,papersci,papersci_0166,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,18.76,17.37,16.07,15.21,14.67,14.4,14.45,14.75,15.31,16.18,17.53,19.38,21.69,24.03,26.63,29.63,32.64,35.15,37.48,39.53,41.02,41.99,42.81,43.82,45.3,46.93,48.29,49.42,50.74,52.58,55.49
paper_spectra__papersci__0167,paper_spectra,papersci,papersci_0167,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,18.57,17.23,15.96,15.08,14.51,14.27,14.33,14.61,15.18,16.07,17.43,19.26,21.57,23.92,26.5,29.47,32.48,34.96,37.23,39.24,40.72,41.71,42.49,43.47,44.9,46.5,47.84,48.9,50.14,51.89,54.65
paper_spectra__papersci__0168,paper_spectra,papersci,papersci_0168,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,18.58,17.23,15.95,15.1,14.54,14.31,14.37,14.65,15.24,16.15,17.52,19.4,21.74,24.08,26.7,29.7,32.69,35.19,37.51,39.58,41.06,42.05,42.89,43.89,45.36,46.96,48.33,49.45,50.76,52.58,55.42
paper_spectra__papersci__0169,paper_spectra,papersci,papersci_0169,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,56.28,55.8,55.12,54.87,55.75,57.77,60.9,65.49,71.37,76.68,80.41,82.65,83.74,84.15,84.32,84.33,84.22,84.02,83.91,83.89,83.9,83.88,84.08,84.62,85.5,86.49,87.44,88.42,89.46,90.64,92.14
paper_spectra__papersci__0170,paper_spectra,papersci,papersci_0170,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,55.03,54.63,54.03,53.82,54.59,56.34,59,62.7,67.1,70.78,73.17,74.64,75.41,75.7,75.89,76.02,76.15,76.18,76.3,76.45,76.67,76.84,77.13,77.68,78.46,79.25,80.07,80.91,81.81,82.82,83.92
paper_spectra__papersci__0171,paper_spectra,papersci,papersci_0171,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,55.59,55.18,54.56,54.34,55.18,57.09,59.99,64.23,69.63,74.6,78.25,80.61,81.9,82.46,82.73,82.81,82.84,82.71,82.71,82.83,82.92,83.01,83.37,84.08,85.17,86.4,87.51,88.65,89.9,91.32,93.21
paper_spectra__papersci__0172,paper_spectra,papersci,papersci_0172,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,13.61,11.9,10.44,9.69,9.43,9.54,10.06,11.11,12.86,15.44,19.78,26.54,37.16,49.69,62.22,73.77,82.4,87.03,89.71,91.09,92.1,92.82,93.35,93.7,94.24,94.83,95.55,96.34,97.09,97.9,98.72
paper_spectra__papersci__0173,paper_spectra,papersci,papersci_0173,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,13.71,12.02,10.57,9.83,9.58,9.67,10.2,11.26,13.02,15.6,19.95,26.67,37.08,48.96,59.92,68.88,74.78,77.78,79.6,80.61,81.49,82.22,82.85,83.31,83.88,84.48,85.23,85.99,86.72,87.5,88.34
paper_spectra__papersci__0174,paper_spectra,papersci,papersci_0174,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,13.66,11.96,10.5,9.78,9.53,9.64,10.17,11.25,13,15.59,19.95,26.69,37.16,49.19,60.93,71.78,80.55,86.16,90.18,92.79,94.71,96.28,97.49,98.38,99.44,100.58,101.77,102.93,104.13,105.39,106.64
paper_spectra__papersci__0175,paper_spectra,papersci,papersci_0175,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,13.92,12.18,10.72,9.96,9.7,9.79,10.32,11.41,13.19,15.8,20.19,27.03,37.68,50.24,62.73,74.15,82.58,87.11,89.76,91.09,92.08,92.8,93.34,93.7,94.19,94.8,95.53,96.3,97.08,97.86,98.68
