sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__newsprintsci__0016,paper_spectra,newsprintsci,newsprintsci_0016,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,30.09,36.48,40.56,41.5,41.3,40.9,41.1,42.06,43.85,46.18,48.93,51.61,54.24,56.66,58.01,57.7,58.11,62.77,71.02,77.95,80.9,82.26,83.69,85.08,86.38,87.48,88.49,89.33,89.95,90.52,91.02
paper_spectra__newsprintsci__0017,paper_spectra,newsprintsci,newsprintsci_0017,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,30.01,36.26,40.13,40.97,40.77,40.4,40.56,41.43,43.07,45.15,47.51,49.77,51.89,53.75,54.76,54.53,54.95,58.42,64.17,68.6,70.33,71.11,72.04,72.96,73.84,74.6,75.34,76,76.58,77.13,77.63
paper_spectra__newsprintsci__0018,paper_spectra,newsprintsci,newsprintsci_0018,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,30.24,36.54,40.49,41.37,41.17,40.76,40.92,41.81,43.51,45.7,48.24,50.74,53.11,55.27,56.49,56.29,56.72,60.92,68.49,75.11,78.27,80.1,82.16,84.23,86.26,88.21,89.99,91.48,92.73,93.71,94.64
paper_spectra__newsprintsci__0019,paper_spectra,newsprintsci,newsprintsci_0019,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,29.77,37.48,43.2,45.5,46.25,46.41,47,48.26,50.29,52.82,55.73,58.64,61.55,64.25,66.01,66.69,67.77,71.48,77.21,81.54,83.33,84.41,85.65,86.79,87.79,88.78,89.77,90.59,91.26,91.93,92.57
paper_spectra__newsprintsci__0020,paper_spectra,newsprintsci,newsprintsci_0020,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,29.72,37.2,42.61,44.7,45.36,45.51,46,47.1,48.83,50.91,53.24,55.48,57.63,59.54,60.83,61.29,62.12,64.67,68.37,71.01,72.15,72.88,73.75,74.55,75.36,76.1,76.84,77.54,78.19,78.82,79.42
paper_spectra__newsprintsci__0021,paper_spectra,newsprintsci,newsprintsci_0021,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,29.6,37.14,42.65,44.83,45.55,45.72,46.26,47.44,49.33,51.62,54.25,56.89,59.51,61.9,63.54,64.21,65.31,68.89,74.49,79.09,81.35,82.96,84.83,86.68,88.49,90.23,91.87,93.37,94.68,95.76,96.81
paper_spectra__newsprintsci__0022,paper_spectra,newsprintsci,newsprintsci_0022,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,29.66,37.37,43.12,45.46,46.23,46.43,47.04,48.31,50.34,52.86,55.74,58.65,61.52,64.2,65.98,66.63,67.73,71.43,77.16,81.44,83.24,84.29,85.51,86.64,87.66,88.62,89.56,90.4,91.12,91.74,92.39
paper_spectra__newsprintsci__0023,paper_spectra,newsprintsci,newsprintsci_0023,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,30.01,37.47,42.87,44.96,45.65,45.83,46.34,47.41,49.14,51.19,53.44,55.61,57.65,59.48,60.71,61.21,62.07,64.49,68.03,70.56,71.63,72.29,73.12,73.9,74.65,75.35,76.06,76.77,77.4,77.99,78.6
paper_spectra__newsprintsci__0024,paper_spectra,newsprintsci,newsprintsci_0024,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,29.76,37.38,42.93,45.09,45.82,46,46.51,47.66,49.55,51.86,54.47,57.11,59.73,62.13,63.77,64.45,65.55,69.12,74.75,79.37,81.61,83.18,85.07,86.9,88.68,90.42,92.07,93.52,94.81,95.92,97.03
paper_spectra__newsprintsci__0025,paper_spectra,newsprintsci,newsprintsci_0025,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,28.43,31.48,31.94,30.74,29.78,29.66,31.68,37.16,46.66,58.11,68.38,74.34,76.52,77.48,78.17,78.91,79.76,80.62,81.54,82.16,82.85,83.84,85.19,86.48,87.76,89.04,90.29,91.49,92.51,93.4,94.29
