sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
agfa_it872__agfa_it872__0085,agfa_it872,agfa_it872,D19,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,13.81,33.07,51.83,59.8,63.97,65.39,64.74,62.33,58.54,54.22,49.48,45.05,41.93,39.67,38.13,38.51,39.31,40.53,41.69,42,41.15,39.34,37.45,35.92,34.82,34.3,34.32,35.05,36.59,39.03,42.13
agfa_it872__agfa_it872__0086,agfa_it872,agfa_it872,D20,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,7.9,9.35,9.78,9.23,8.93,8.69,8.66,9.06,9.7,10.5,11.05,11.27,11.17,10.79,11.03,12.38,14.18,17.11,20.98,24.72,27.41,28.86,29.36,29.32,29.25,29.35,29.77,30.73,32.4,34.8,37.8
agfa_it872__agfa_it872__0087,agfa_it872,agfa_it872,D21,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,10.68,17.47,22.17,22.72,22.93,23.03,23.38,24.12,25.03,25.91,26.25,25.97,25.37,24.59,24.38,25.61,27.33,29.68,32.17,33.79,34.02,33.08,31.85,30.66,29.77,29.35,29.43,30.17,31.69,34.04,37.07
agfa_it872__agfa_it872__0088,agfa_it872,agfa_it872,D22,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.76,25.32,35.35,37.46,37.89,37.86,38.16,38.87,39.75,40.56,40.95,40.83,40.59,40.22,40.15,41.56,43.38,45.88,48.68,50.71,51.36,50.8,49.81,48.89,48.33,48.2,48.47,49.42,51.08,53.47,56.27
agfa_it872__agfa_it872__0089,agfa_it872,agfa_it872,E1,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.75,7.46,7.71,7.49,7.44,7.35,7.36,7.74,8.31,8.99,9.46,9.58,9.28,8.71,8.57,9.02,9.28,9.6,9.67,9.27,8.47,7.48,6.68,6.18,5.91,5.78,5.87,6.15,6.64,7.6,9.09
agfa_it872__agfa_it872__0090,agfa_it872,agfa_it872,E2,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.68,7.06,7.02,6.73,6.59,6.38,6.26,6.46,6.97,7.78,8.62,9.22,9.32,8.97,8.91,9.28,9.39,9.43,9.19,8.56,7.71,6.8,6.1,5.72,5.53,5.46,5.54,5.76,6.17,7.02,8.38
agfa_it872__agfa_it872__0091,agfa_it872,agfa_it872,E3,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.49,6.84,6.8,6.56,6.39,6.14,6.01,6.29,6.91,7.94,9.12,10.12,10.52,10.3,10.22,10.45,10.44,10.3,9.79,8.92,7.88,6.86,6.12,5.71,5.45,5.36,5.45,5.68,6.1,6.95,8.33
agfa_it872__agfa_it872__0092,agfa_it872,agfa_it872,E4,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.66,7,6.95,6.65,6.51,6.31,6.15,6.4,6.97,7.97,9.11,10.09,10.51,10.29,10.17,10.46,10.39,10.17,9.69,8.85,7.82,6.84,6.13,5.72,5.54,5.49,5.55,5.76,6.19,7.04,8.37
agfa_it872__agfa_it872__0093,agfa_it872,agfa_it872,E5,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,8.07,10.51,11.95,11.94,12.03,12.1,12.46,13.36,14.59,16.06,17.34,18.09,18.14,17.63,17.36,17.76,18.17,18.6,18.62,17.86,16.47,14.7,13.17,12.13,11.39,10.97,10.98,11.41,12.29,13.9,16.24
agfa_it872__agfa_it872__0094,agfa_it872,agfa_it872,E6,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,7.54,8.87,9.46,9.2,9.07,9,9.21,10.05,11.51,13.52,15.8,17.82,18.99,19.23,19.29,19.59,19.58,19.37,18.68,17.39,15.63,13.7,12.11,11.01,10.25,9.92,9.97,10.31,11.14,12.72,14.95
agfa_it872__agfa_it872__0095,agfa_it872,agfa_it872,E7,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.36,7.03,7.19,6.83,6.61,6.38,6.41,6.96,8.15,10.23,13.23,16.49,18.96,20.18,20.73,20.79,20.05,18.98,17.39,15.4,13.34,11.33,9.81,8.86,8.19,7.87,7.93,8.27,8.95,10.27,12.29
agfa_it872__agfa_it872__0096,agfa_it872,agfa_it872,E8,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.72,7.16,7.16,6.83,6.58,6.33,6.27,6.7,7.79,9.86,13.07,16.99,20.36,22.39,23.28,23.01,21.67,19.94,17.79,15.4,13.17,11.15,9.66,8.72,8.1,7.83,7.88,8.21,8.86,10.12,12.07
agfa_it872__agfa_it872__0097,agfa_it872,agfa_it872,E9,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.16,23.27,32.27,34.48,35.22,35.54,36.11,37.1,38.31,39.52,40.3,40.56,40.54,40.18,39.82,40.37,40.96,41.75,42.32,42.03,40.74,38.69,36.65,35.01,33.86,33.3,33.29,34,35.46,37.87,41.02
agfa_it872__agfa_it872__0098,agfa_it872,agfa_it872,E10,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,11.77,21.61,29.29,30.96,31.52,31.76,32.45,33.76,35.47,37.39,39.1,40.32,41.06,41.21,41.07,41.47,41.77,42.07,42.03,41.19,39.54,37.19,34.95,33.26,32.1,31.46,31.41,32.14,33.63,36.01,39
agfa_it872__agfa_it872__0099,agfa_it872,agfa_it872,E11,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,11.17,19.43,25.51,26.57,26.81,27,27.79,29.38,31.6,34.33,37.15,39.67,41.55,42.51,42.83,43.12,43.02,42.73,42.01,40.56,38.47,35.87,33.52,31.74,30.51,29.83,29.74,30.41,31.92,34.29,37.27
agfa_it872__agfa_it872__0100,agfa_it872,agfa_it872,E12,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,10.63,17.76,22.71,23.24,23.29,23.39,24.29,26.12,28.91,32.55,36.78,41.08,44.77,47.3,48.52,48.62,47.56,46.08,44.13,41.66,38.94,35.93,33.31,31.34,30,29.3,29.19,29.83,31.29,33.66,36.7
agfa_it872__agfa_it872__0101,agfa_it872,agfa_it872,E13,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,13.33,32.33,52.01,62.12,67.87,70.96,72.91,73.33,72.29,70.59,68.11,65.69,64.18,62.51,59.37,55.54,51.2,46.93,42.75,38.76,35.1,31.53,28.63,26.67,25.22,24.43,24.32,24.9,26.28,28.57,31.59
agfa_it872__agfa_it872__0102,agfa_it872,agfa_it872,E14,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,14.7,36.98,57.79,64.43,66.8,66.25,63.38,59.05,53.73,48.28,42.89,38.14,34.88,32.65,31.74,33.71,36.71,41.38,47.67,54.31,60.03,64.56,67.91,70.58,73.37,76.02,78.14,79.99,81.57,82.84,83.82
agfa_it872__agfa_it872__0103,agfa_it872,agfa_it872,E15,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.87,25.11,34.37,35.48,35.08,34.65,35.29,37.09,40.01,43.92,48.68,54.11,59.96,65.33,69.43,72.19,73.19,73.91,75.09,76.28,76.96,76.98,76.84,77.17,78.34,79.85,81.18,82.46,83.58,84.48,85.08
agfa_it872__agfa_it872__0104,agfa_it872,agfa_it872,E16,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,10.97,19.4,25.93,27.44,28.3,28.78,29.22,29.79,30.27,30.47,30.06,28.99,27.74,26.52,25.88,26.64,27.78,29.24,30.48,30.8,30,28.28,26.49,25.07,24.01,23.44,23.45,24.1,25.46,27.71,30.69
agfa_it872__agfa_it872__0105,agfa_it872,agfa_it872,E17,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.28,22.74,30.26,30.94,30.85,30.52,30.49,30.8,31.27,31.57,31.38,30.64,29.82,29.06,29.09,31.24,34.44,39.21,45.53,52.16,57.89,62.51,65.97,68.69,71.5,74.14,76.31,78.21,79.8,81.13,82.19
agfa_it872__agfa_it872__0106,agfa_it872,agfa_it872,E18,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,11.43,21.36,29.41,31.52,32.34,32.85,34.1,36.19,39.05,42.56,46.45,50.28,53.57,55.52,55.5,53.59,50.3,46.72,42.96,39.18,35.62,32.13,29.29,27.27,25.85,25.09,24.96,25.55,26.92,29.22,32.21
agfa_it872__agfa_it872__0107,agfa_it872,agfa_it872,E19,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.9,28.89,44.28,51.25,55.81,57.83,57.36,54.7,50.41,45.54,40.45,35.78,32.32,29.78,28.25,28.68,29.53,30.7,31.69,31.81,30.82,28.99,27.15,25.66,24.59,24.03,24,24.61,25.99,28.28,31.26
agfa_it872__agfa_it872__0108,agfa_it872,agfa_it872,E20,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,7.2,7.84,7.78,7.25,6.98,6.65,6.51,6.76,7.5,8.75,10.39,11.98,13.1,13.66,14.58,16.6,19.27,23.28,28.59,34.18,39,42.79,45.41,47.18,48.84,50.28,51.56,53.25,55.34,57.75,60.21
agfa_it872__agfa_it872__0109,agfa_it872,agfa_it872,E21,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,7.72,9.07,9.37,8.77,8.47,8.2,8.23,8.78,9.82,11.31,12.95,14.28,15.03,15.27,15.88,17.65,19.99,23.33,27.39,31.06,33.5,34.61,34.83,34.66,34.53,34.6,35.02,36.04,37.75,40.22,43.2
agfa_it872__agfa_it872__0110,agfa_it872,agfa_it872,E22,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,9.98,15,17.92,17.61,17.3,17.15,17.51,18.55,20.14,22.02,23.84,25.14,25.79,25.95,26.5,28.41,30.96,34.44,38.52,42.01,44.12,44.85,44.75,44.38,44.22,44.29,44.69,45.71,47.44,49.91,52.75
agfa_it872__agfa_it872__0111,agfa_it872,agfa_it872,F1,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.64,6.9,6.93,6.74,6.62,6.46,6.38,6.51,6.76,7.08,7.25,7.17,6.88,6.48,6.45,6.79,6.77,6.7,6.48,6.1,5.65,5.19,4.89,4.79,4.77,4.75,4.83,5.04,5.33,5.82,6.73
agfa_it872__agfa_it872__0112,agfa_it872,agfa_it872,F2,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.48,6.74,6.77,6.56,6.46,6.3,6.23,6.43,6.83,7.36,7.78,7.93,7.7,7.22,7.06,7.24,7.11,6.88,6.46,5.93,5.4,4.98,4.73,4.62,4.58,4.6,4.71,4.87,5.12,5.62,6.44
