sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__cardboardsce__0011,paper_spectra,cardboardsce,cardboardsce_0011,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,22.98,26.17,29.19,31.26,32.51,32.8,32.28,31.18,29.48,27.37,24.86,22.19,19.24,16.6,14.52,12.69,11.05,9.79,8.8,8.16,7.64,7.38,7.39,7.47,7.62,7.76,7.73,7.98,8.99,10.81,13.5
paper_spectra__cardboardsce__0012,paper_spectra,cardboardsce,cardboardsce_0012,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,22.51,25.71,28.73,30.8,32.05,32.38,31.88,30.78,29.09,26.99,24.48,21.84,18.93,16.3,14.24,12.42,10.79,9.57,8.57,7.93,7.48,7.22,7.18,7.29,7.46,7.6,7.56,7.77,8.77,10.57,13.18
paper_spectra__cardboardsce__0013,paper_spectra,cardboardsce,cardboardsce_0013,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,25.25,24.11,22.92,21.94,20.94,19.84,18.44,16.9,15.4,13.99,12.67,11.72,10.99,10.32,9.98,9.95,10.09,10.53,11.2,12.35,13.83,16.04,18.93,22.33,26.29,30.59,34.77,39.32,44.06,48.27,52.49
paper_spectra__cardboardsce__0014,paper_spectra,cardboardsce,cardboardsce_0014,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,25.74,24.6,23.43,22.44,21.42,20.27,18.81,17.22,15.63,14.14,12.73,11.7,10.94,10.2,9.77,9.69,9.76,10.04,10.52,11.65,13.24,15.69,18.91,22.53,26.54,30.85,35.15,39.84,44.66,48.96,53.24
paper_spectra__cardboardsce__0015,paper_spectra,cardboardsce,cardboardsce_0015,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,30.92,37.34,43.24,48.69,55.09,59.89,62.37,63.9,63.52,61.31,57.53,52.58,46.15,39.47,33.06,26.65,20.81,16.66,13.74,12.02,10.79,10.03,9.86,10.32,10.99,11.31,10.88,10.51,11.28,13.24,16.16
paper_spectra__cardboardsce__0016,paper_spectra,cardboardsce,cardboardsce_0016,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,31.34,37.78,43.7,49.22,55.74,60.71,63.36,65,64.63,62.24,58.28,53.18,46.61,39.87,33.42,26.97,21.04,16.82,13.89,12.14,10.89,10.11,9.97,10.44,11.09,11.4,10.98,10.61,11.34,13.38,16.39
paper_spectra__cardboardsce__0017,paper_spectra,cardboardsce,cardboardsce_0017,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,26.34,25.15,23.9,22.89,21.81,20.65,19.18,17.54,15.89,14.38,12.92,11.88,11.09,10.33,9.89,9.81,9.88,10.13,10.62,11.76,13.37,15.86,19.12,22.8,26.9,31.27,35.57,40.34,45.27,49.63,53.94
paper_spectra__cardboardsce__0018,paper_spectra,cardboardsce,cardboardsce_0018,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,25.59,24.38,23.15,22.14,21.08,19.91,18.5,16.94,15.39,13.94,12.61,11.65,10.9,10.22,9.86,9.82,9.95,10.35,10.99,12.16,13.6,15.74,18.63,22.07,26.05,30.4,34.65,39.32,44.18,48.54,52.94
paper_spectra__cardboardsce__0019,paper_spectra,cardboardsce,cardboardsce_0019,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,61.57,63.85,65.9,67.03,67.03,65.69,63.16,60.07,56.64,53.15,49.55,46.42,43.48,40.9,39.11,38.12,37.61,37.7,38.28,39.85,42.17,46.12,52.1,59.76,68.12,75.66,81.01,84.28,85.88,86.74,87.39
paper_spectra__cardboardsce__0020,paper_spectra,cardboardsce,cardboardsce_0020,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,61.28,63.64,65.68,66.84,66.89,65.57,63.09,60.02,56.61,53.11,49.55,46.47,43.5,40.92,39.14,38.14,37.67,37.73,38.28,39.84,42.15,46.07,52.03,59.66,68.03,75.67,81.28,84.95,86.96,88.14,89.17
