L,h,C_max
5,324,92.7429199219
5,327,72.7111816406
5,330,62.4572753906
5,333,55.9387207031
5,336,51.3244628906
5,339,47.8637695312
5,342,45.1721191406
5,345,43.06640625
5,348,41.3635253906
5,351,39.990234375
5,354,38.8916015625
5,357,37.9577636719
5,360,37.1337890625
6,0,40.8325195312
6,3,40.1733398438
6,6,39.6240234375
6,9,39.1845703125
6,12,38.8732910156
6,15,38.6535644531
6,18,33.4533691406
6,21,28.8391113281
6,24,25.4150390625
6,27,22.7600097656
6,30,20.654296875
6,33,18.9697265625
6,36,17.578125
6,39,16.40625
6,42,15.4357910156
6,45,14.6118164062
6,48,13.8977050781
6,51,13.2934570312
6,54,12.7624511719
6,57,12.3046875
6,60,11.9201660156
6,63,11.5905761719
6,66,11.2976074219
6,69,11.0595703125
6,72,10.8581542969
6,75,10.693359375
6,78,10.546875
6,81,10.4553222656
6,84,10.3820800781
6,87,10.3271484375
6,90,10.3271484375
6,93,10.3271484375
6,96,10.3820800781
6,99,10.4553222656
6,102,10.546875
6,105,10.6750488281
6,108,10.83984375
6,111,11.0595703125
6,114,11.2976074219
6,117,11.572265625
6,120,11.9201660156
6,123,12.3046875
6,126,12.744140625
6,129,13.2751464844
6,132,13.8610839844
6,135,14.5751953125
6,138,15.380859375
6,141,16.3513183594
6,144,17.4682617188
6,147,18.7866210938
6,150,20.3247070312
6,153,22.0825195312
6,156,23.9868164062
6,159,25.6164550781
6,162,26.3488769531
6,165,26.4587402344
6,168,26.2390136719
6,171,25.9094238281
6,174,25.5249023438
6,177,25.1220703125
6,180,24.7741699219
6,183,24.4445800781
6,186,24.1882324219
6,189,23.9685058594
6,192,23.7670898438
6,195,23.6206054688
6,198,23.4924316406
6,201,23.4008789062
6,204,23.3276367188
6,207,23.291015625
6,210,23.2727050781
6,213,23.291015625
6,216,23.3459472656
6,219,23.4375
6,222,23.5290527344
6,225,23.6755371094
6,228,23.8586425781
6,231,24.0783691406
6,234,24.3347167969
6,237,24.6459960938
6,240,24.9755859375
6,243,25.3601074219
6,246,25.7995605469
6,249,26.3122558594
6,252,26.8615722656
6,255,27.5024414062
6,258,28.2165527344
6,261,28.9855957031
6,264,29.8645019531
6,267,30.8349609375
6,270,31.9152832031
6,273,33.1237792969
6,276,34.4787597656
6,279,35.9985351562
6,282,37.6647949219
6,285,39.5874023438
6,288,41.8029785156
6,291,44.4213867188
6,294,47.5341796875
6,297,51.26953125
6,300,55.810546875
6,303,61.4318847656
6,306,68.4997558594
6,309,77.63671875
6,312,89.7583007812
6,315,106.677246094
6,318,132.421875
6,321,158.770751953
6,324,102.337646484
6,327,79.7058105469
6,330,68.3349609375
6,333,61.1389160156
6,336,56.0852050781
6,339,52.294921875
6,342,49.3835449219
6,345,47.0764160156
6,348,45.2270507812
6,351,43.7438964844
6,354,42.5720214844
6,357,41.6198730469
6,360,40.8325195312
7,0,43.6706542969
7,3,43.0297851562
7,6,42.5354003906
7,9,42.1325683594
7,12,41.8579101562
7,15,41.6931152344
7,18,39.0380859375
7,21,33.6547851562
7,24,29.6447753906
7,27,26.5502929688
7,30,24.1149902344
7,33,22.1374511719
7,36,20.5078125
7,39,19.1528320312
7,42,17.9992675781
7,45,17.0471191406
7,48,16.2048339844
7,51,15.5090332031
7,54,14.8864746094
7,57,14.35546875
7,60,13.916015625
7,63,13.5131835938
7,66,13.18359375
7,69,12.890625
7,72,12.6708984375
7,75,12.4694824219
7,78,12.3046875
7,81,12.1948242188
7,84,12.1032714844
7,87,12.0483398438
7,90,12.0483398438
7,93,12.0483398438
7,96,12.1032714844
7,99,12.1948242188
7,102,12.3046875
7,105,12.4694824219
7,108,12.6525878906
7,111,12.890625
7,114,13.18359375
7,117,13.5131835938
7,120,13.8977050781
7,123,14.35546875
7,126,14.8681640625
7,129,15.4724121094
7,132,16.1865234375
7,135,16.9921875
7,138,17.9443359375
7,141,19.0612792969
7,144,20.3796386719
7,147,21.9177246094
7,150,23.7121582031
7,153,25.7629394531
7,156,27.978515625
7,159,29.8828125
7,162,30.7434082031
7,165,30.8715820312
7,168,30.615234375
7,171,30.2307128906
7,174,29.7729492188
7,177,29.3151855469
7,180,28.8940429688
7,183,28.5278320312
7,186,28.1982421875
7,189,27.9052734375
7,192,27.6306152344
7,195,27.392578125
7,198,27.1728515625
7,201,26.9714355469
7,204,26.8249511719
7,207,26.6967773438
7,210,26.5869140625
7,213,26.513671875
7,216,26.4770507812
7,219,26.4587402344
7,222,26.4953613281
7,225,26.5686035156
7,228,26.66015625
7,231,26.7883300781
7,234,26.9897460938
7,237,27.2094726562
7,240,27.4658203125
7,243,27.7954101562
7,246,28.1982421875
7,249,28.6193847656
7,252,29.1320800781
7,255,29.7180175781
7,258,30.3588867188
7,261,31.0913085938
7,264,31.9152832031
7,267,32.8491210938
7,270,33.8745117188
7,273,35.0463867188
7,276,36.3464355469
7,279,37.8295898438
7,282,39.5141601562
7,285,41.5283203125
7,288,43.8537597656
7,291,46.6003417969
7,294,49.8779296875
7,297,53.7780761719
7,300,58.5571289062
7,303,64.453125
7,306,71.8688964844
7,309,81.4453125
7,312,94.1711425781
7,315,111.9140625
7,318,138.885498047
7,321,169.171142578
7,324,109.625244141
7,327,85.1440429688
7,330,72.9309082031
7,333,65.2404785156
7,336,59.8205566406
7,339,55.7922363281
7,342,52.6794433594
7,345,50.2075195312
7,348,48.2482910156
7,351,46.6735839844
7,354,45.4284667969
7,357,44.4396972656
7,360,43.6706542969
8,0,45.8679199219
8,3,45.263671875
8,6,44.7875976562
8,9,44.4396972656
8,12,44.2016601562
8,15,44.091796875
8,18,44.091796875
8,21,38.4704589844
8,24,33.8928222656
8,27,30.3588867188
8,30,27.5573730469
8,33,25.2868652344
8,36,23.4375
8,39,21.8811035156
8,42,20.5810546875
8,45,19.482421875
8,48,18.5302734375
8,51,17.724609375
8,54,17.0104980469
8,57,16.4245605469
8,60,15.8935546875
8,63,15.4541015625
8,66,15.0695800781
8,69,14.7399902344
8,72,14.4653320312
8,75,14.2456054688
8,78,14.0625
8,81,13.9343261719
8,84,13.8427734375
8,87,13.7878417969
8,90,13.76953125
8,93,13.7878417969
8,96,13.8427734375
8,99,13.9343261719
8,102,14.0625
8,105,14.2456054688
8,108,14.4653320312
8,111,14.7399902344
8,114,15.0695800781
8,117,15.4357910156
8,120,15.8935546875
8,123,16.40625
8,126,16.9921875
8,129,17.6879882812
8,132,18.4936523438
8,135,19.4274902344
8,138,20.5261230469
8,141,21.7895507812
8,144,23.291015625
8,147,25.048828125
8,150,27.099609375
8,153,29.443359375
8,156,31.9885253906
8,159,34.1491699219
8,162,35.1379394531
8,165,35.2844238281
8,168,34.9914550781
8,171,34.5520019531
8,174,34.0209960938
8,177,33.5083007812
8,180,33.0322265625
8,183,32.5927734375
8,186,32.1716308594
8,189,31.7504882812
8,192,31.3842773438
8,195,31.0180664062
8,198,30.7067871094
8,201,30.3771972656
8,204,30.1208496094
8,207,29.8645019531
8,210,29.6630859375
8,213,29.4982910156
