L,h,C_max
5,312,59.6740722656
5,315,53.466796875
5,318,48.8891601562
5,321,45.3369140625
5,324,42.4987792969
5,327,40.2099609375
5,330,38.3056640625
5,333,36.7126464844
5,336,35.3759765625
5,339,34.2590332031
5,342,33.3251953125
5,345,32.5561523438
5,348,31.9152832031
5,351,31.4025878906
5,354,30.9997558594
5,357,30.6884765625
5,360,30.46875
6,0,33.7280273438
6,3,33.5998535156
6,6,33.5632324219
6,9,33.6181640625
6,12,33.7463378906
6,15,33.984375
6,18,33.4716796875
6,21,28.8391113281
6,24,25.3967285156
6,27,22.7416992188
6,30,20.6359863281
6,33,18.9331054688
6,36,17.5415039062
6,39,16.3696289062
6,42,15.3991699219
6,45,14.5751953125
6,48,13.8610839844
6,51,13.2568359375
6,54,12.7258300781
6,57,12.2680664062
6,60,11.8835449219
6,63,11.5539550781
6,66,11.2609863281
6,69,11.0229492188
6,72,10.8215332031
6,75,10.6567382812
6,78,10.5102539062
6,81,10.4187011719
6,84,10.3454589844
6,87,10.2905273438
6,90,10.2905273438
6,93,10.2905273438
6,96,10.3454589844
6,99,10.4187011719
6,102,10.5102539062
6,105,10.6384277344
6,108,10.8032226562
6,111,11.0046386719
6,114,11.2426757812
6,117,11.5356445312
6,120,11.865234375
6,123,12.2497558594
6,126,12.6892089844
6,129,13.2019042969
6,132,13.8061523438
6,135,14.4836425781
6,138,15.2893066406
6,141,16.2231445312
6,144,17.28515625
6,147,18.5119628906
6,150,19.8852539062
6,153,21.2768554688
6,156,22.5952148438
6,159,23.73046875
6,162,24.5544433594
6,165,24.9755859375
6,168,25.1770019531
6,171,25.2685546875
6,174,25.341796875
6,177,25.4150390625
6,180,25.48828125
6,183,25.6164550781
6,186,25.78125
6,189,26.0009765625
6,192,26.2573242188
6,195,26.5869140625
6,198,26.9714355469
6,201,27.4108886719
6,204,27.9235839844
6,207,28.5095214844
6,210,29.1687011719
6,213,29.9194335938
6,216,30.7434082031
6,219,31.6772460938
6,222,32.7026367188
6,225,33.837890625
6,228,35.1013183594
6,231,36.474609375
6,234,37.9943847656
6,237,39.6606445312
6,240,41.4367675781
6,243,43.3776855469
6,246,45.5017089844
6,249,47.75390625
6,252,50.1708984375
6,255,52.7893066406
6,258,55.5908203125
6,261,58.5754394531
6,264,61.7614746094
6,267,65.185546875
6,270,68.8293457031
6,273,72.7294921875
6,276,76.9592285156
6,279,81.6467285156
6,282,87.2131347656
6,285,93.8598632812
6,288,101.879882812
6,291,111.749267578
6,294,124.182128906
6,297,135.9375
6,300,132.202148438
6,303,117.572021484
6,306,93.2189941406
6,309,76.5197753906
6,312,66.2658691406
6,315,59.2529296875
6,318,54.1259765625
6,321,50.1525878906
6,324,47.0031738281
6,327,44.4396972656
6,330,42.333984375
6,333,40.576171875
6,336,39.0930175781
6,339,37.8662109375
6,342,36.8408203125
6,345,35.9802246094
6,348,35.2844238281
6,351,34.716796875
6,354,34.27734375
6,357,33.9660644531
6,360,33.7280273438
7,0,36.1999511719
7,3,36.0717773438
7,6,36.0534667969
7,9,36.1267089844
7,12,36.2915039062
7,15,36.5661621094
7,18,36.9506835938
7,21,33.6547851562
7,24,29.6264648438
7,27,26.5319824219
7,30,24.0783691406
7,33,22.1008300781
7,36,20.4711914062
7,39,19.1162109375
7,42,17.9626464844
7,45,17.0104980469
7,48,16.1682128906
7,51,15.4724121094
7,54,14.8498535156
7,57,14.3188476562
7,60,13.8793945312
7,63,13.4765625
7,66,13.1469726562
7,69,12.8540039062
7,72,12.6159667969
7,75,12.4328613281
7,78,12.2680664062
7,81,12.158203125
7,84,12.0666503906
7,87,12.01171875
7,90,11.9934082031
7,93,12.01171875
7,96,12.0666503906
7,99,12.1398925781
7,102,12.2680664062
7,105,12.4145507812
7,108,12.6159667969
7,111,12.8540039062
7,114,13.1286621094
7,117,13.4582519531
7,120,13.8427734375
7,123,14.3005371094
7,126,14.8132324219
7,129,15.4174804688
7,132,16.11328125
7,135,16.9006347656
7,138,17.8344726562
7,141,18.9147949219
7,144,20.1782226562
7,147,21.6064453125
7,150,23.1994628906
7,153,24.8291015625
7,156,26.3671875
7,159,27.685546875
7,162,28.6376953125
7,165,29.1320800781
7,168,29.3701171875
7,171,29.4799804688
7,174,29.5715332031
7,177,29.6447753906
7,180,29.736328125
7,183,29.9011230469
7,186,30.0842285156
7,189,30.3405761719
7,192,30.6518554688
7,195,30.9997558594
7,198,31.4392089844
7,201,31.93359375
7,204,32.5012207031
7,207,33.1604003906
7,210,33.8745117188
7,213,34.6618652344
7,216,35.5773925781
7,219,36.5478515625
7,222,37.646484375
7,225,38.8366699219
7,228,40.13671875
7,231,41.5649414062
7,234,43.1030273438
7,237,44.7509765625
7,240,46.5454101562
7,243,48.4497070312
7,246,50.4821777344
7,249,52.6611328125
7,252,55.0048828125
7,255,57.4951171875
7,258,60.1501464844
7,261,62.98828125
7,264,66.0095214844
7,267,69.2687988281
7,270,72.7294921875
7,273,76.46484375
7,276,80.6579589844
7,279,85.5834960938
7,282,91.40625
7,285,98.3825683594
7,288,106.787109375
7,291,117.132568359
7,294,130.133056641
7,297,143.774414062
7,300,140.203857422
7,303,125.903320312
7,306,100.524902344
7,309,82.3425292969
7,312,71.2097167969
7,315,63.6291503906
7,318,58.0810546875
7,321,53.8146972656
7,324,50.4089355469
7,327,47.6623535156
7,330,45.3918457031
7,333,43.505859375
7,336,41.9128417969
7,339,40.5944824219
7,342,39.4958496094
7,345,38.5803222656
7,348,37.8295898438
7,351,37.2253417969
7,354,36.767578125
7,357,36.4196777344
7,360,36.1999511719
8,0,38.0493164062
8,3,37.939453125
8,6,37.9211425781
8,9,38.0126953125
8,12,38.2141113281
8,15,38.525390625
8,18,38.9465332031
8,21,38.4704589844
8,24,33.8745117188
8,27,30.3405761719
8,30,27.5390625
8,33,25.2685546875
8,36,23.4008789062
8,39,21.8444824219
8,42,20.5444335938
8,45,19.4274902344
8,48,18.4936523438
8,51,17.6696777344
8,54,16.9738769531
8,57,16.3696289062
8,60,15.8569335938
8,63,15.3991699219
8,66,15.0329589844
8,69,14.7033691406
8,72,14.4287109375
8,75,14.208984375
8,78,14.0258789062
8,81,13.8977050781
8,84,13.7878417969
8,87,13.7329101562
8,90,13.7145996094
8,93,13.7329101562
8,96,13.7878417969
8,99,13.8793945312
8,102,14.0258789062
8,105,14.1906738281
8,108,14.4104003906
8,111,14.6850585938
8,114,14.9963378906
8,117,15.380859375
8,120,15.8203125
8,123,16.3330078125
8,126,16.9372558594
8,129,17.6147460938
8,132,18.4020996094
8,135,19.3176269531
8,138,20.3979492188
8,141,21.6247558594
8,144,23.0529785156
8,147,24.7009277344
8,150,26.513671875
8,153,28.3813476562
8,156,30.1208496094
8,159,31.640625
8,162,32.7392578125
8,165,33.3068847656
8,168,33.5815429688
8,171,33.69140625
8,174,33.8012695312
8,177,33.8745117188
8,180,34.0026855469
8,183,34.1674804688
8,186,34.3872070312
8,189,34.6618652344
8,192,35.009765625
8,195,35.4125976562
8,198,35.888671875
